CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
11812976,Ke(app),=,0.261,491.5880000000003,3.5743000000000027,1,7,4,82.15,10,3,0,1,1,1,2,0,8,0.3571428571428571,-3.779999999999998,5.710286085177642,211.69917048928767,1.607416618220531,16.512296794097594,9.8766810013449,0.0,18.49377696441204
11812976,Ke(app),>,10.0,491.5880000000003,3.5743000000000027,1,7,4,82.15,10,3,0,1,1,1,2,0,8,0.3571428571428571,-3.779999999999998,5.710286085177642,211.69917048928767,1.607416618220531,16.512296794097594,9.8766810013449,0.0,18.49377696441204
10983972,Ke(app),=,2.09,504.6270000000003,4.521500000000004,0,6,4,60.47000000000001,10,3,0,1,0,1,3,0,7,0.3666666666666666,-3.709999999999998,5.996246873788184,219.0544361093332,1.6344648211999582,16.51230214991625,9.876447041865864,0.0,11.949020558499466
10983972,Ke(app),>,10.0,504.6270000000003,4.521500000000004,0,6,4,60.47000000000001,10,3,0,1,0,1,3,0,7,0.3666666666666666,-3.709999999999998,5.996246873788184,219.0544361093332,1.6344648211999582,16.51230214991625,9.876447041865864,0.0,11.949020558499466
11071351,Ke(app),=,3.03,516.6380000000004,4.447800000000004,0,6,5,60.47000000000001,8,3,0,2,0,2,3,0,7,0.3870967741935484,-3.709999999999998,5.157824790012326,224.4135470702005,1.440688610127802,16.51231039778505,9.875970007456557,0.0,11.949020558499466
11071351,Ke(app),=,9.0,516.6380000000004,4.447800000000004,0,6,5,60.47000000000001,8,3,0,2,0,2,3,0,7,0.3870967741935484,-3.709999999999998,5.157824790012326,224.4135470702005,1.440688610127802,16.51231039778505,9.875970007456557,0.0,11.949020558499466
10278102,Ke(app),=,0.199,490.60000000000025,4.179300000000003,1,6,4,69.26,10,3,0,1,0,1,3,0,7,0.3448275862068966,-3.709999999999998,5.739009717235686,212.4795225083412,1.6074166182205312,16.512291945371093,9.876662521649925,0.0,11.949020558499466
10278102,Ke(app),>,10.0,490.60000000000025,4.179300000000003,1,6,4,69.26,10,3,0,1,0,1,3,0,7,0.3448275862068966,-3.709999999999998,5.739009717235686,212.4795225083412,1.6074166182205312,16.512291945371093,9.876662521649925,0.0,11.949020558499466
11081493,Ke(app),=,0.152,491.5880000000003,3.574300000000002,1,7,4,82.15,10,3,0,1,1,1,2,0,8,0.3571428571428571,-3.779999999999998,5.710286085177642,211.69917048928767,1.6074166182205312,16.51229626052871,9.876668281738104,0.0,18.49377696441204
11081493,Ke(app),>,10.0,491.5880000000003,3.574300000000002,1,7,4,82.15,10,3,0,1,1,1,2,0,8,0.3571428571428571,-3.779999999999998,5.710286085177642,211.69917048928767,1.6074166182205312,16.51229626052871,9.876668281738104,0.0,18.49377696441204
11049263,Ke(app),=,1.01,491.5880000000003,3.574300000000002,1,7,4,82.15,10,3,0,1,1,1,2,0,8,0.3571428571428571,-3.779999999999998,5.710286085177642,211.69917048928767,1.6074166182205314,16.512296182517975,9.8766659033255,0.0,18.49377696441204
73292536,Ke(app),=,0.315,560.7350000000005,6.129800000000007,1,6,4,69.26,15,3,0,1,0,1,3,0,7,0.4411764705882353,-3.709999999999998,8.165174844959495,244.30423308032425,1.592679560799556,16.516279279660356,9.87649536693923,0.0,11.949020558499466
73292536,Ke(app),>,10.0,560.7350000000005,6.129800000000007,1,6,4,69.26,15,3,0,1,0,1,3,0,7,0.4411764705882353,-3.709999999999998,8.165174844959495,244.30423308032425,1.592679560799556,16.516279279660356,9.87649536693923,0.0,11.949020558499466
73292876,Ke(app),=,0.0785,546.6640000000004,4.876200000000005,1,7,4,86.33,12,3,0,1,0,1,3,0,8,0.375,-4.039999999999998,7.124588380735267,235.7358709515748,1.6432392533796163,16.55360989782055,9.876476308822252,0.0,24.46308225236389
