CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
10278102,Ke,=,0.2,490.60000000000025,4.179300000000003,1,6,4,69.26,10,3,0,1,0,1,3,0,7,0.3448275862068966,-3.709999999999998,5.739009717235686,212.4795225083412,1.6074166182205312,16.512291945371093,9.876662521649925,0.0,11.949020558499466
6604926,Ke,=,0.045,319.32400000000007,3.723420000000001,2,5,4,92.94,2,4,0,0,3,0,1,0,7,0.0588235294117647,-3.479999999999998,2.626816731715721,136.29623029200084,1.5649591795364877,16.347194739926817,10.251885475278607,0.0,6.031114512338072
6604926,Ke,=,1.194,319.32400000000007,3.723420000000001,2,5,4,92.94,2,4,0,0,3,0,1,0,7,0.0588235294117647,-3.479999999999998,2.626816731715721,136.29623029200084,1.5649591795364877,16.347194739926817,10.251885475278607,0.0,6.031114512338072
9798764,Ke,=,0.045,355.7850000000001,4.145220000000003,2,5,4,92.94,2,4,0,0,3,0,1,0,8,0.0588235294117647,-3.189999999999998,3.3602561843386307,148.44932354455028,1.8224982654766857e-06,35.45300115896339,10.251885475253289,0.0,18.43814767351805
9798764,Ke,=,0.032,355.7850000000001,4.145220000000003,2,5,4,92.94,2,4,0,0,3,0,1,0,8,0.0588235294117647,-3.189999999999998,3.3602561843386307,148.44932354455028,1.8224982654766857e-06,35.45300115896339,10.251885475253289,0.0,18.43814767351805
9798764,Ke,>,10.0,355.7850000000001,4.145220000000003,2,5,4,92.94,2,4,0,0,3,0,1,0,8,0.0588235294117647,-3.189999999999998,3.3602561843386307,148.44932354455028,1.8224982654766857e-06,35.45300115896339,10.251885475253289,0.0,18.43814767351805
129093973,Ke,=,0.00369,621.6680000000005,3.2798000000000025,1,9,7,152.66000000000005,7,3,2,4,1,2,2,2,13,0.3870967741935484,-4.199999999999998,3.7523362732219945,253.21739013192496,1.3256101756492615,32.2334298312499,9.483843719215836,54.73316127885127,31.71440100404211
53233797,Ke,=,0.0642,394.4940000000001,6.034400000000005,2,3,3,57.260000000000005,8,3,0,0,1,0,2,0,6,0.3043478260869565,-3.1499999999999986,5.437129359087048,170.495962293805,1.593700872103505,19.14219042436736,10.155611863404584,5.817220841045895,11.547815229954336
53233797,Ke,=,2.41,394.4940000000001,6.034400000000005,2,3,3,57.260000000000005,8,3,0,0,1,0,2,0,6,0.3043478260869565,-3.1499999999999986,5.437129359087048,170.495962293805,1.593700872103505,19.14219042436736,10.155611863404584,5.817220841045895,11.547815229954336
9821207,Ke,=,0.0463,307.357,3.339800000000002,2,4,3,70.15,3,3,0,0,2,0,1,0,6,0.1176470588235294,-3.1499999999999986,3.370190992256093,133.72536429984228,1.7345209567034712,16.161479999551673,10.24195073385268,0.0,6.031114512338072
