cid,acname,acqualifier,acvalue
10562462,Ki,=,0.0832
6005,Ki,=,0.0416
10610641,Ki,=,0.201
122187,Ki,=,3.76
10706553,Ki,=,0.0392
10825325,Ki,=,0.0194
10421583,Ki,=,0.527
6603866,Ki,=,0.819
52941718,Ki,=,0.022
44350942,Ki,=,0.101
44350991,Ki,=,0.403
3559,Ki,=,0.00044
15443,Ki,=,0.052
13422623,Ki,=,0.028
2477,Ki,=,0.09
10020651,Ki,=,3.346
24867245,Ki,=,0.279
16048564,Ki,=,0.073
10276451,Ki,=,3.6
44393372,Ki,=,0.048
44393411,Ki,=,0.45
10438027,Ki,=,3.2
44393403,Ki,=,0.059
44393393,Ki,=,0.089
44393415,Ki,=,0.075
44393403,Ki,=,0.027
44393411,Ki,=,0.14
10276451,Ki,=,2.6
44393372,Ki,=,0.001
44393393,Ki,=,0.032
10438027,Ki,=,0.43
44393415,Ki,=,0.035
10450593,Ki,=,0.37
135398737,Ki,=,0.07762
10088453,Ki,=,0.00537
10042602,Ki,=,0.05129
10316297,Ki,=,0.02399
10762475,Ki,=,0.03162
44393173,Ki,=,0.02818
10546334,Ki,=,0.00166
3246545,Ki,=,0.0012
3246545,Ki,=,0.0022
3246545,Ki,=,1.841
3246545,Ki,=,1.545
3246545,IC50,=,0.063
3246545,IC50,=,0.077
46931072,IC50,=,0.837
46931072,IC50,=,1.173
46931072,Ki,=,0.304
46931072,Ki,=,0.426
44394667,Ki,=,0.094
44394820,Ki,=,4
44394599,Ki,=,3.1
44394666,Ki,=,1
44214765,Ki,=,5
44394629,Ki,=,4
44394636,Ki,=,1.5
44394590,Ki,=,0.9
44394675,Ki,=,3.7
10021193,Ki,=,0.6
44214766,Ki,=,0.84
44394742,Ki,=,0.07
9821803,Ki,=,2.6
44394618,Ki,=,0.12
11559589,Ki,=,0.98
44214767,Ki,=,1.2
44214764,Ki,=,8
44394884,Ki,=,0.15
44394743,Ki,=,0.06
45263202,Ki,=,1.231
45263203,Ki,=,0.1898
45263205,Ki,=,1.05
45263214,Ki,=,0.2535
13091274,Ki,=,0.0023
11957618,Ki,=,0.96
45265656,Ki,=,0.1244
44387743,Ki,=,2
11418182,Ki,=,0.313
44397670,Ki,=,1.25893
44397589,Ki,=,1.25893
44397588,Ki,=,0.79433
5311271,Ki,=,1.3
44387733,Ki,=,0.266
44216196,Ki,=,0.863
44387732,Ki,=,0.791
44389330,Ki,=,0.0119
44389321,Ki,=,0.0062
44389345,Ki,=,0.0036
125564,Ki,=,0.00014
44389309,Ki,=,0.0212
10636896,Ki,=,0.01995
10737474,Ki,=,0.06607
10761258,Ki,=,0.36308
10065188,Ki,=,0.17783
10760638,Ki,=,0.60256
10617381,Ki,=,0.04898
10382581,Ki,=,2.45471
9883554,Ki,=,3.01995
10088259,Ki,=,0.38019
10665101,Ki,=,0.46774
3645619,Ki,=,2.81838
10616050,Ki,=,2.45471
10593191,Ki,=,0.17378
9975465,Ki,=,2.29087
10447709,Ki,=,0.38905
10518406,Ki,=,1.94984
10758004,Ki,=,1.31826
10660814,Ki,=,0.06166
10498972,Ki,=,5.7544
10734727,Ki,=,0.24547
10589218,Ki,=,0.06457
10733406,Ki,=,0.02188
10590285,Ki,=,0.27542
10450892,Ki,=,0.302
10315310,Ki,=,0.22909
10708280,Ki,=,0.26915
10805355,Ki,=,1.41254
10588194,Ki,=,0.25119
10780942,Ki,=,0.1122
10494394,Ki,=,0.29512
10732925,Ki,=,0.29512
10684706,Ki,=,0.56234
10780510,Ki,=,0.14454
10642239,Ki,=,1.44544
10473658,Ki,=,0.26915
10064052,Ki,=,0.241
10429067,Ki,=,1.21
11406143,Ki,=,4.188
10402378,Ki,=,0.158
68950,Ki,=,2.024
7077,Ki,=,2.74
11335419,Ki,=,1.006
11472028,Ki,=,6.28
44396220,Ki,=,1.015
11346967,Ki,=,5.317
11778580,Ki,=,0.274
3559,Ki,=,0.0022
10287730,Ki,=,3.16228
3038495,Ki,=,0.061
9891901,Ki,=,0.698
10001256,Ki,=,0.0234
9826580,Ki,=,0.0612
9980998,Ki,=,0.119
11307083,Ki,=,0.192
10276451,Ki,=,0.0425
11223885,Ki,=,0.0658
9887463,Ki,=,0.0152
11477180,Ki,=,0.106
44309509,Ki,=,0.0583
44309510,Ki,=,0.0514
11351639,Ki,=,0.245
11316847,Ki,=,0.031
11224283,Ki,=,0.0965
10436285,Ki,=,0.0194
11408148,Ki,=,0.131
10436285,Ki,=,0.0701
44309775,Ki,=,0.168
11408148,Ki,=,0.0765
11307083,Ki,=,0.0354
