MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2,CID
464.5660000000002,5.894120000000005,1,6,5,71.26,5,4,1,1,2,1,2,0,8,0.32,-3.2599999999999985,4.349011079263818,195.01664579256317,1.3976495655745782,32.13356812971621,9.951648730630744,0.0,23.808082228693323,70694257
453.5900000000002,5.257490000000006,1,6,4,79.62,9,4,0,0,2,0,2,0,6,0.32142857142857145,-3.6899999999999986,4.950213179732595,200.13655247366472,1.791382009021959,16.474546372865184,10.046481936223199,0.0,12.083681658295921,156247474
602.7720000000004,6.054500000000006,1,7,4,86.33,17,3,0,1,0,1,3,0,8,0.4444444444444444,-4.039999999999998,9.741379847645428,261.19563940916123,1.4003036431785645,16.53266314963182,9.880137312622574,0.0,17.918325846451317,122184315
546.6640000000003,4.876200000000005,1,7,4,86.33,12,3,0,1,0,1,3,0,8,0.375,-4.039999999999998,7.124588380735267,235.7358709515748,1.5968617823190465,16.553567759972978,9.876634969323147,0.0,24.46308225236389,90680830
424.54800000000006,5.125300000000005,1,3,6,52.230000000000004,3,4,2,2,1,2,3,0,5,0.3333333333333333,-3.339999999999998,3.2352661969057603,187.59958306835026,1.1942721841951252,16.15483926867855,9.71354742435237,0.0,5.41499046939678,53259457
597.7370000000001,6.014400000000006,1,5,5,96.01999999999998,8,4,0,1,0,0,4,1,9,0.23529411764705882,-4.629999999999997,6.2671108774043915,252.51317057415017,1.4576280303148206,32.2332736068813,9.861008010174107,10.023291153407584,28.50119559665265,168289136
459.5750000000001,4.383820000000004,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.518496237117357,195.74475221383847,1.2478677916443128,32.16655561467765,10.157472837800503,6.041840829147961,17.5672130654498,44454917
408.5640000000002,2.6581,1,4,3,75.71000000000001,6,1,2,2,0,1,1,1,7,0.6666666666666666,-1.44,5.7812477167803396,168.23941160416476,1.5650935347864836,32.233102152430355,9.825409988471492,10.023291153407584,24.09482777539573,130310087
495.4560000000004,3.888900000000003,1,7,4,88.83,5,3,1,1,3,1,0,0,13,0.4090909090909091,-3.6399999999999983,5.381583253874669,196.7542538903486,1.5971231524413665,19.413312024304485,9.876405183826764,48.62526031388596,18.056547178596063,138624085
406.42100000000005,3.3106000000000018,2,7,5,97.87,5,4,1,1,2,0,2,1,9,0.23809523809523808,-3.7499999999999982,3.4941815910037484,170.64717171773214,1.3260028329809561,19.1421483043141,10.102417314892623,0.0,23.808082228693323,122438741
