CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
44454916,Activity,=,1.75,446.532,4.340300000000004,1,6,5,80.37,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,188.9649789425044,1.249975313122743,32.16656737631031,10.157473146032189,6.041840829147961,17.5672130654498
44454916,Activity,=,0.028,446.532,4.340300000000004,1,6,5,80.37,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,188.9649789425044,1.249975313122743,32.16656737631031,10.157473146032189,6.041840829147961,17.5672130654498
44454916,Ki,=,0.12,446.532,4.340300000000004,1,6,5,80.37,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,188.9649789425044,1.249975313122743,32.16656737631031,10.157473146032189,6.041840829147961,17.5672130654498
44454916,Ki,=,0.008,446.532,4.340300000000004,1,6,5,80.37,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,188.9649789425044,1.249975313122743,32.16656737631031,10.157473146032189,6.041840829147961,17.5672130654498
44454878,Activity,=,0.028,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2663914145435755,32.16655619068405,10.157472653496272,6.041840829147961,17.5672130654498
44454878,Activity,=,0.008,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2663914145435755,32.16655619068405,10.157472653496272,6.041840829147961,17.5672130654498
44454878,Ki,=,0.002,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2663914145435755,32.16655619068405,10.157472653496272,6.041840829147961,17.5672130654498
44454878,Ki,=,0.0001,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2663914145435755,32.16655619068405,10.157472653496272,6.041840829147961,17.5672130654498
44454947,Activity,=,0.48,441.535,3.926300000000003,1,5,5,72.16,6,4,1,1,2,1,2,0,7,0.2692307692307692,-3.869999999999998,4.137821708479072,192.1965557894651,1.2652587857851298,16.16134796189124,10.143880212506946,6.041840829147961,11.814359458703011
44454947,Activity,=,0.003,441.535,3.926300000000003,1,5,5,72.16,6,4,1,1,2,1,2,0,7,0.2692307692307692,-3.869999999999998,4.137821708479072,192.1965557894651,1.2652587857851298,16.16134796189124,10.143880212506946,6.041840829147961,11.814359458703011
44454947,Ki,=,0.049,441.535,3.926300000000003,1,5,5,72.16,6,4,1,1,2,1,2,0,7,0.2692307692307692,-3.869999999999998,4.137821708479072,192.1965557894651,1.2652587857851298,16.16134796189124,10.143880212506946,6.041840829147961,11.814359458703011
44454947,Ki,=,0.002,441.535,3.926300000000003,1,5,5,72.16,6,4,1,1,2,1,2,0,7,0.2692307692307692,-3.869999999999998,4.137821708479072,192.1965557894651,1.2652587857851298,16.16134796189124,10.143880212506946,6.041840829147961,11.814359458703011
15949702,Activity,=,1.7,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.96067819183224,1.1928743516895226,32.16655560434269,10.056289296113986,6.041840829147961,17.5672130654498
15949702,Activity,=,0.143,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.96067819183224,1.1928743516895226,32.16655560434269,10.056289296113986,6.041840829147961,17.5672130654498
15949702,Ki,=,2.3,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.96067819183224,1.1928743516895226,32.16655560434269,10.056289296113986,6.041840829147961,17.5672130654498
15949702,Ki,=,0.011,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.96067819183224,1.1928743516895226,32.16655560434269,10.056289296113986,6.041840829147961,17.5672130654498
44454915,Activity,=,0.011,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2662262947152028,32.16655619068396,10.157472682760895,6.041840829147961,17.5672130654498
44454915,Activity,=,0.008,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2662262947152028,32.16655619068396,10.157472682760895,6.041840829147961,17.5672130654498
44454915,Ki,=,0.0007,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2662262947152028,32.16655619068396,10.157472682760895,6.041840829147961,17.5672130654498
44454915,Ki,=,9e-05,473.60200000000015,4.394220000000004,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,202.3196658148304,1.2662262947152028,32.16655619068396,10.157472682760895,6.041840829147961,17.5672130654498
44454946,Activity,=,0.022,459.5750000000001,4.085800000000003,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.258419512621189,195.95472370043376,1.26525878578513,32.16655612305932,10.157472682824023,6.041840829147961,17.5672130654498
44454946,Activity,=,0.002,459.5750000000001,4.085800000000003,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.258419512621189,195.95472370043376,1.26525878578513,32.16655612305932,10.157472682824023,6.041840829147961,17.5672130654498
44454946,Ki,=,0.009,459.5750000000001,4.085800000000003,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.258419512621189,195.95472370043376,1.26525878578513,32.16655612305932,10.157472682824023,6.041840829147961,17.5672130654498
44454946,Ki,=,0.0003,459.5750000000001,4.085800000000003,1,6,5,72.16,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.258419512621189,195.95472370043376,1.26525878578513,32.16655612305932,10.157472682824023,6.041840829147961,17.5672130654498
15949515,Activity,=,0.068,456.5210000000001,4.931300000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.999999999999998,4.414359861591697,196.36804568378977,1.270609605863616,19.142194572628192,10.024606704158014,6.041840829147961,24.05240192267492
15949515,Activity,=,0.004,456.5210000000001,4.931300000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.999999999999998,4.414359861591697,196.36804568378977,1.270609605863616,19.142194572628192,10.024606704158014,6.041840829147961,24.05240192267492
15949515,Ki,=,0.027,456.5210000000001,4.931300000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.999999999999998,4.414359861591697,196.36804568378977,1.270609605863616,19.142194572628192,10.024606704158014,6.041840829147961,24.05240192267492
15949515,Ki,=,0.003,456.5210000000001,4.931300000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.999999999999998,4.414359861591697,196.36804568378977,1.270609605863616,19.142194572628192,10.024606704158014,6.041840829147961,24.05240192267492
15949516,Activity,=,0.21,468.5570000000001,4.800800000000004,2,4,5,87.32000000000001,7,4,1,1,1,1,3,0,7,0.25,-4.129999999999998,4.752560712180746,203.68099762476703,1.277681549799089,16.46585437409986,10.019092485909418,6.041840829147961,11.814359458703011
15949516,Activity,=,0.005,468.5570000000001,4.800800000000004,2,4,5,87.32000000000001,7,4,1,1,1,1,3,0,7,0.25,-4.129999999999998,4.752560712180746,203.68099762476703,1.277681549799089,16.46585437409986,10.019092485909418,6.041840829147961,11.814359458703011
15949516,Ki,=,0.086,468.5570000000001,4.800800000000004,2,4,5,87.32000000000001,7,4,1,1,1,1,3,0,7,0.25,-4.129999999999998,4.752560712180746,203.68099762476703,1.277681549799089,16.46585437409986,10.019092485909418,6.041840829147961,11.814359458703011
15949516,Ki,=,0.002,468.5570000000001,4.800800000000004,2,4,5,87.32000000000001,7,4,1,1,1,1,3,0,7,0.25,-4.129999999999998,4.752560712180746,203.68099762476703,1.277681549799089,16.46585437409986,10.019092485909418,6.041840829147961,11.814359458703011
44454577,Activity,=,0.068,456.5710000000001,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.635201523144994,195.9606781918322,1.2563495772896756,32.1665556043598,10.032531635809216,6.041840829147961,17.5672130654498
44454577,Activity,=,0.007,456.5710000000001,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.635201523144994,195.9606781918322,1.2563495772896756,32.1665556043598,10.032531635809216,6.041840829147961,17.5672130654498
44454577,Ki,=,0.01,456.5710000000001,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.635201523144994,195.9606781918322,1.2563495772896756,32.1665556043598,10.032531635809216,6.041840829147961,17.5672130654498
44454577,Ki,=,0.0006,456.5710000000001,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.635201523144994,195.9606781918322,1.2563495772896756,32.1665556043598,10.032531635809216,6.041840829147961,17.5672130654498
44454877,Activity,=,0.098,452.5580000000001,4.802600000000004,1,4,5,67.23,6,4,1,1,1,1,3,0,6,0.25,-3.929999999999998,4.31161537734499,198.77742388185547,1.2704760313611598,16.16132501952303,10.03216221137301,6.041840829147961,11.814359458703011
44454877,Activity,=,0.005,452.5580000000001,4.802600000000004,1,4,5,67.23,6,4,1,1,1,1,3,0,6,0.25,-3.929999999999998,4.31161537734499,198.77742388185547,1.2704760313611598,16.16132501952303,10.03216221137301,6.041840829147961,11.814359458703011
44454877,Ki,=,0.015,452.5580000000001,4.802600000000004,1,4,5,67.23,6,4,1,1,1,1,3,0,6,0.25,-3.929999999999998,4.31161537734499,198.77742388185547,1.2704760313611598,16.16132501952303,10.03216221137301,6.041840829147961,11.814359458703011
44454877,Ki,=,0.0008,452.5580000000001,4.802600000000004,1,4,5,67.23,6,4,1,1,1,1,3,0,6,0.25,-3.929999999999998,4.31161537734499,198.77742388185547,1.2704760313611598,16.16132501952303,10.03216221137301,6.041840829147961,11.814359458703011
15949703,Activity,=,0.45,472.5700000000001,5.077000000000004,2,5,5,87.32000000000001,7,4,1,1,1,1,3,0,8,0.1923076923076923,-3.779999999999998,4.91554484098874,201.07422342133907,1.2282700542162803,32.16655569031805,10.162763900479732,6.041840829147961,17.5672130654498
15949703,Activity,=,0.016,472.5700000000001,5.077000000000004,2,5,5,87.32000000000001,7,4,1,1,1,1,3,0,8,0.1923076923076923,-3.779999999999998,4.91554484098874,201.07422342133907,1.2282700542162803,32.16655569031805,10.162763900479732,6.041840829147961,17.5672130654498
15949703,Ki,=,0.069,472.5700000000001,5.077000000000004,2,5,5,87.32000000000001,7,4,1,1,1,1,3,0,8,0.1923076923076923,-3.779999999999998,4.91554484098874,201.07422342133907,1.2282700542162803,32.16655569031805,10.162763900479732,6.041840829147961,17.5672130654498
15949703,Ki,=,0.003,472.5700000000001,5.077000000000004,2,5,5,87.32000000000001,7,4,1,1,1,1,3,0,8,0.1923076923076923,-3.779999999999998,4.91554484098874,201.07422342133907,1.2282700542162803,32.16655569031805,10.162763900479732,6.041840829147961,17.5672130654498
15949610,Activity,=,0.24,445.54800000000006,4.075400000000003,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,189.37981009944184,1.249975313122743,32.16655554707498,10.157472843309831,6.041840829147961,17.5672130654498
15949610,Activity,=,0.006,445.54800000000006,4.075400000000003,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,189.37981009944184,1.249975313122743,32.16655554707498,10.157472843309831,6.041840829147961,17.5672130654498
15949610,Ki,=,0.028,445.54800000000006,4.075400000000003,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,189.37981009944184,1.249975313122743,32.16655554707498,10.157472843309831,6.041840829147961,17.5672130654498
15949610,Ki,=,0.028,445.54800000000006,4.075400000000003,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,189.37981009944184,1.249975313122743,32.16655554707498,10.157472843309831,6.041840829147961,17.5672130654498
15949610,Ki,=,0.001,445.54800000000006,4.075400000000003,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,189.37981009944184,1.249975313122743,32.16655554707498,10.157472843309831,6.041840829147961,17.5672130654498
15949610,Ki,=,0.001,445.54800000000006,4.075400000000003,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.5199999999999982,4.134916753381893,189.37981009944184,1.249975313122743,32.16655554707498,10.157472843309831,6.041840829147961,17.5672130654498
44454943,Activity,=,0.545,462.60000000000014,4.808800000000004,1,6,5,67.23,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.0999999999999983,4.284127767977759,193.81101294883905,1.249975313122743,32.194588115548335,10.157473457545974,6.041840829147961,17.5672130654498
44454943,Activity,=,0.011,462.60000000000014,4.808800000000004,1,6,5,67.23,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.0999999999999983,4.284127767977759,193.81101294883905,1.249975313122743,32.194588115548335,10.157473457545974,6.041840829147961,17.5672130654498
44454943,Ki,=,0.039,462.60000000000014,4.808800000000004,1,6,5,67.23,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.0999999999999983,4.284127767977759,193.81101294883905,1.249975313122743,32.194588115548335,10.157473457545974,6.041840829147961,17.5672130654498
44454943,Ki,=,0.002,462.60000000000014,4.808800000000004,1,6,5,67.23,6,4,1,1,2,1,2,0,8,0.2083333333333333,-3.0999999999999983,4.284127767977759,193.81101294883905,1.249975313122743,32.194588115548335,10.157473457545974,6.041840829147961,17.5672130654498
44454917,Activity,=,0.02,459.5750000000001,4.383820000000004,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.518496237117357,195.74475221383847,1.2478677916443128,32.16655561467765,10.157472837800505,6.041840829147961,17.5672130654498
44454917,Activity,=,0.002,459.5750000000001,4.383820000000004,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.518496237117357,195.74475221383847,1.2478677916443128,32.16655561467765,10.157472837800505,6.041840829147961,17.5672130654498
44454917,Ki,=,0.003,459.5750000000001,4.383820000000004,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.518496237117357,195.74475221383847,1.2478677916443128,32.16655561467765,10.157472837800505,6.041840829147961,17.5672130654498
